Métrique,Total,Long,Short,Remarque
Total des transactions,201,201,0,
Total des transactions ouvertes,1,1,0,
Transactions gagnantes,87,87,0,
Transactions perdantes,101,101,0,
Rentables en pourcentage,"43,28%","43,28%",—,
P&L moyen,"0,03 EUR / 0,01%","0,03 EUR / 0,01%",—,
Transaction gagnante moyenne,"2,61 EUR / 1,01%","2,61 EUR / 1,01%",—,
Transaction perdante moyenne,"2,19 EUR / 0,94%","2,19 EUR / 0,94%",—,
Ratio gain moyen / perte moyenne,"1,197","1,197",—,
Transaction la plus gagnante,"15,30 EUR","15,30 EUR",—,
Pourcentage de la transaction la plus gagnante,"5,34%","5,34%",—,
Plus grand gagnant en % du bénéfice brut,"6,74%","6,74%","0,00%",
Transaction la plus perdante,"24,00 EUR","24,00 EUR",—,
Pourcentage de la transaction la plus perdante,"8,16%","8,16%",—,
Plus gros perdant en % de la perte brute,"10,85%","10,85%","0,00%",
Nombre moyen # de barres dans les transactions,13,13,0,
Nombre moyen # de barres dans les transactions gagnantes,18,18,0,
Nombre moyen # de barres dans les transactions perdantes,10,10,0,
